# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (8.081301e+00 -1.647987e-15 3.009266e-36)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.157608e-21 7.417250e-21 -6.938894e-18))
0.1           	((1.535006e+01 -5.896647e-06 5.356694e-25) (2.782946e+00 6.246833e-07 -5.661013e-21)) ((4.018835e-21 -2.020026e-25 2.912582e-12) (4.806511e-23 2.047590e-20 -1.570802e-07))
0.2           	((-4.190495e+00 5.236879e-06 6.082429e-25) (1.453266e+00 5.643185e-07 -3.599647e-21)) ((-8.010208e-22 2.361833e-25 -1.056383e-12) (-2.487898e-21 -5.159022e-21 -1.799266e-07))
0.3           	((4.009677e-01 3.993095e-06 -6.826217e-21) (1.046370e+00 5.513330e-07 4.094577e-21)) ((1.614389e-20 -3.282798e-21 1.788779e-10) (-5.199374e-21 3.934700e-21 -1.739621e-07))
0.4           	((3.820646e-01 3.873475e-06 2.794075e-21) (8.527082e-01 5.218941e-07 -2.204247e-21)) ((-2.476709e-20 2.650505e-21 1.501584e-10) (7.600292e-21 -1.936827e-21 -1.651436e-07))
0.5           	((3.660485e-01 3.966741e-06 8.682220e-22) (7.352846e-01 5.202722e-07 -7.453977e-23)) ((-2.906153e-21 1.092224e-21 -1.978496e-11) (-9.465774e-22 1.195466e-21 -1.565738e-07))
0.6           	((3.529404e-01 4.005565e-06 -2.447963e-21) (6.552662e-01 5.227693e-07 2.053813e-21)) ((1.488835e-20 -1.198890e-21 -3.090031e-10) (-5.198993e-21 2.751708e-21 -1.505622e-07))
0.7           	((3.446279e-01 4.081756e-06 -2.439573e-21) (5.966305e-01 5.285564e-07 2.064689e-21)) ((1.440542e-20 -1.159169e-21 -7.120035e-10) (-5.167605e-21 2.670372e-21 -1.463495e-07))
0.8           	((3.400162e-01 4.089494e-06 3.416942e-21) (5.514374e-01 5.367172e-07 -4.409500e-21)) ((1.452795e-20 2.418340e-21 -1.227525e-09) (-5.098847e-21 -6.363221e-22 -1.433915e-07))
0.9           	((3.381666e-01 4.047445e-06 -3.853869e-21) (5.153100e-01 5.455970e-07 1.702556e-21)) ((2.338339e-21 -9.410151e-22 -1.856738e-09) (-2.575536e-21 3.744940e-22 -1.413633e-07))
1             	((3.384334e-01 3.996069e-06 -4.550394e-21) (4.856361e-01 5.548901e-07 1.859599e-21)) ((2.251122e-20 3.514599e-21 -2.598765e-09) (-7.973205e-21 -1.518122e-21 -1.400469e-07))
1.1           	((3.404106e-01 3.919226e-06 -7.662783e-21) (4.607545e-01 5.642003e-07 1.975940e-21)) ((-5.531881e-21 -4.238277e-21 -3.450866e-09) (1.391865e-22 1.111618e-21 -1.392516e-07))
1.2           	((3.437464e-01 3.824069e-06 -9.831751e-22) (4.395501e-01 5.734194e-07 -3.113992e-21)) ((1.513573e-21 1.608629e-22 -4.408114e-09) (-2.125078e-21 -6.589468e-22 -1.388079e-07))
1.3           	((3.481245e-01 3.699890e-06 1.910034e-21) (4.212407e-01 5.823798e-07 -2.241756e-21)) ((3.089405e-21 -4.757123e-21 -5.461979e-09) (-2.613034e-21 6.422546e-22 -1.385779e-07))
1.4           	((3.532855e-01 3.555858e-06 -5.945235e-21) (4.052590e-01 5.909300e-07 -6.603530e-22)) ((-1.775587e-20 2.511640e-21 -6.600312e-09) (4.393400e-21 -2.513842e-21 -1.384935e-07))
1.5           	((3.590172e-01 3.382018e-06 -7.397721e-21) (3.911815e-01 5.985055e-07 4.347400e-21)) ((-8.926822e-21 -2.853186e-21 -7.806973e-09) (7.776260e-22 2.602919e-21 -1.387008e-07))
1.6           	((3.651286e-01 3.173655e-06 -4.959684e-21) (3.786845e-01 6.046175e-07 -6.430452e-22)) ((1.159500e-22 -2.161943e-21 -9.061765e-09) (-1.710885e-21 -5.916145e-22 -1.391262e-07))
1.7           	((3.714889e-01 2.960211e-06 7.631194e-21) (3.675155e-01 6.096080e-07 -5.380414e-21)) ((-2.989061e-20 2.755186e-21 -1.034142e-08) (7.738955e-21 -2.554022e-21 -1.396643e-07))
1.8           	((3.780133e-01 2.720160e-06 -1.070844e-20) (3.574743e-01 6.130954e-07 2.025453e-21)) ((-1.813269e-20 6.940110e-22 -1.162002e-08) (4.422068e-21 -1.397843e-21 -1.402383e-07))
1.9           	((3.846414e-01 2.480119e-06 2.791732e-22) (3.484002e-01 6.150132e-07 -1.381511e-21)) ((8.713030e-21 -2.192328e-22 -1.287020e-08) (-3.881573e-21 -1.129641e-21 -1.407779e-07))
2             	((3.913400e-01 2.220329e-06 -4.228116e-21) (3.401621e-01 6.151694e-07 4.363558e-22)) ((-9.949215e-21 -2.097739e-21 -1.406330e-08) (1.450276e-21 -1.942658e-23 -1.412114e-07))
2.1           	((3.981247e-01 1.968659e-06 5.655634e-22) (3.326527e-01 6.136171e-07 5.675867e-22)) ((6.846683e-21 1.609031e-21 -1.517191e-08) (-3.737653e-21 5.985627e-22 -1.414527e-07))
2.2           	((4.049955e-01 1.725711e-06 -4.262923e-21) (3.257831e-01 6.103001e-07 1.692605e-22)) ((-2.989686e-20 -2.043425e-21 -1.616756e-08) (7.934693e-21 1.213213e-21 -1.414060e-07))
