# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0             	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.1           	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.036667e-19 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.2           	(0.000000e+00 -1.407333e-19 0.000000e+00)	(0.000000e+00 -1.407333e-19 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.251052e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.3           	(0.000000e+00 -4.502104e-10 0.000000e+00)	(0.000000e+00 -4.502104e-10 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.988850e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.4           	(0.000000e+00 -3.977700e-10 0.000000e+00)	(0.000000e+00 -3.977700e-10 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.496137e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.5           	(0.000000e+00 4.901700e-11 0.000000e+00)	(0.000000e+00 4.901700e-11 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.340085e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.6           	(0.000000e+00 8.702469e-10 0.000000e+00)	(0.000000e+00 8.702469e-10 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.005824e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.7           	(0.000000e+00 2.060664e-09 0.000000e+00)	(0.000000e+00 2.060664e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.367321e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.8           	(0.000000e+00 3.604888e-09 0.000000e+00)	(0.000000e+00 3.604888e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.712381e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.9           	(0.000000e+00 5.485427e-09 0.000000e+00)	(0.000000e+00 5.485427e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.034475e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
